제목,작성일,답변상태,담당부서,민원내용,답변내용
민원 신청 했더니 외려 피해가 생겼습니다,2024-06-24,답변완료,도시관리국 건설과,"동일고충민원
동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202405301745231914 선행민원상세조회","우리 구 새올상담민원으로 접수된 민원사항에 대하여 아래와 같이 답변하고자 합니다.

1. 민원개요
가. 민원인: 박상순
나. 접수일: 2024. 06. 24.
다. 위 치: 부전동 516-32번지 일원
라. 내 용: 부전동 516-32번지 일원 맨홀뚜껑 설치로 인한 피해에 따른 조치요청

2. 답변내용
가. 평소 구정에 대한 많은 관심에 감사드립니다.
나. 귀하께서 요청하신 민원내용은 부전동 516-32번지 일원 맨홀뚜껑 설치로 인한 피해에 따른 조치요청으로 판단이 되어 아래와 같이 답변드립니다.
다. 우선, 보도 위 물 고임 해소를 위한 맨홀뚜껑 설치 공사로 인한 주민불편 사항에 대하여 양해 말씀드립니다.
라. 해당구간의 맨홀뚜껑은 우기 시 보도 위 물고임으로 인한 보행 시 주민불편사항 해소를 위해 설치를 하였으며,
마. 또한, 설치된 맨홀뚜껑 인근의 악취저감을 위해 악취방지덮개를 추가로 설치 하여 지속적인 하수시설 유지·관리 중임을 알려드립니다.
사. 답변 내용에 대한 추가 설명이 필요한 경우 부산진구청 건설과(☎605-4686,박승희)로 문의주시면 친절하게 안내하여 드리겠습니다. 감사합니다.


붙임 1. 상담민원 내용 1부.
2. 위치도 및 현장사진 1부. 끝."
보도블록 관리 신경 쓰주세요,2024-06-22,답변완료,도시관리국 건축과,"안녕하세요. 송상현공 동상에서 부전동으로 가는 방향 중간지점에 디알건설에서 최근 완공한 오피스텔이 있습니다. 건물 공사기간 점용했었던 인도를 정비하여 보도블록을 새로 원상복구 한 상태입니다. 얼마 전 야간에 걷다가 일행이 넘어진 경우가 있었습니다. 다치거나 하지는 않았습니다만, 연결된 거제대로는 근래엔 수국 등 화초와 나무 등을 심고 훌륭하게 가꿔져 있습니다. 그런데 디알오피스텔앞 인도는 공사가 끝나고 원상복구를 해놓은 도로가 엉망입니다. 적어도 공사 전과 같이 인도가 수평은 어느 정도 맞아야 할 것 아닙니까? 적어도 계단 하나는 더 있어야 하는 높이인데 건물의 맨 아래 계단과 높이를 억지로 같게 하려고 하다 보니 보행자의 횡으로 인도 경사가 너무 심합니다. 현장을 확인해보면 인도복구 공사를 대충했다는 것을 확인 가능할 것입니다. 열흘 전쯤 구청 관리 부서에 유선으로 현장 확인을 요청했었는데, 아무런 반응이 없어 다시 현장확인을 하시고 많은 사람이 이용하는 인도가 원래대로 똑바로 되었으면 합니다.

※ 첨부파일 :
현장 위치.jpg","1. 귀하께서 우리 구로 제기하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 범전동 381-12번지 일원 신축공사로 인한 주변 보도 통행 시 불편사항 및 안전사고 발생우려에 대한 조치를 요청하시는 민원으로 이해되며, 해당 민원사항에 대한 우리 구 답변 내용은 아래와 같습니다.
○ 공사관계자에게 민원사항을 알려 공사장 주변 환경정비에 만전을 기하고 특히 공사로 인하여 도로(보도)를 원상 복구한 사항에 대하여 시공 상태 적절여부를 확인하고 필요시 재시공하는 등 공사장 주변 안전 및 품질관리에 철저를 기할 것을 행정지도하였음을 알려드립니다.
3. 기타 궁금한 사항이 있으실 경우 건축공사 관련은(건축과 ☎051-605-4592, 감성근 주무관)로 문의하시면 답변 드리겠습니다.


-------------------------------------------------------------------------------------------------------------
[협조부서] : 안전교통국 도로관리과 [답변일자] : 2024-06-25 10:30:46
[작성자] : 안효진 [전화번호] : 051-605-4734 [이메일] : ahj2588@korea.kr
[답변내용] :
우리 구 새올상담민원으로 접수된 민원사항에 대하여 다음과 같이 답변코자 합니다.
1. 민원개요
가. 민원인 : 박○○
나. 접수일 : 2024. 6. 22.
다. 내 용 : 범전동 381-12번지 일원 보도경사 정비요청
2. 답변내용
가. 안녕하십니까? 귀하께서 자체접수민원을 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
나. 먼저, 도로시설물의 상태로 인하여 생활의 불편을 야기한 상황에 대해 양해의 말씀을 드립니다.
다. 귀하의 민원 내용은 “범전동 381-12번지 일원 보도경사 정비요청”으로 판단됩니다.
라. 해당 구간은 범전동 381-12번지 외 1필지 건축물 신축공사 현장이며, 해당 시공사에 보도 경사 정비를 요청하겠음을 알려드리오니, 이 점 양해하여 주시기 바랍니다.
마. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 부산진구 도로관리과(�-605-4734)로 연락하여 주시기 바랍니다. 감사합니다.

붙임 1. 민원서류 1부.
2. 위치도 및 현장사진 1부. 끝."
양정자이더샵SK뷰 아파트 분양 문제 제기드립니다.,2024-06-21,답변완료,도시관리국 건축과,"안녕하세요.
양정자이더샵SK뷰 입주예정자 입니다.
이전에도 이 문제로 민원신청을 하신 분이 계신걸로 압니다.
그렇지만 새로운 내용 추가가 된게 있어 다시 질의 드립니다.

사건 : 일반분양과 옵션 계약이 끝난 후 조합에서 일반분양자들에게 세대창고를 파려고 함.
원래 세대창고는 20 설치에서 100 전세대 설치로 변경되었고, 이에 발생되는 비용을 일분자들에게 전가하려고 함.
분양 당시 없던 내용이고 공용부지를 그렇게 개개인에게 매매하는게 맞냐하니 경미한 변경이라고 하고, 구청에서도 별도 규정한 사실이
없어 강제할 수 없다고 함.

위의 내용에 의문이 생겨 여러 변호사님께 상담과 자문을 진행하였습니다.
자문 내용을 간략히 적어본다면

1. 사전동의 없이 진행한 부분이 문제이며 불법이다
2. 이미 계약서상 분양은 끝났고 추가 분담금은 불법이다 ( 창고는 옵션사항이 아님)
3. 피트 공간이라고 해도 아파트 내에 공간은 모든 입주민들의 지분이 공평하게 있다(내 땅을 내가 돈 주고 사는 격이다)
4. 이제와서 판매하는 것은 일분자들에게 공사비를 전가하는 것이다
5. 분양 전에는 100 조합 땅이지만 분양 후에는 100가 아니다. 공용면적을 조합에서 판매하는 것은 문제가 있다
6. 최초 조합 20 외에 일분자가 사고 설치하는 순간 문제가 된다
:개인전유등기가 나오지 않아 추후 사지 않은 입주민이 공용부지를 통한 세대창고 이용에 비용을 지불하라고 하면 법적으로 지불해야하는
법적인 문제 발생


결론적으로 법적으로 공용 부지 지분을 가지고 일분자 동의없이 진행한 부분이므로 공사중지, 판매중지 가처분 신청이 가능하다.

라는 의견입니다. 현재 예비입주자들은 법적인 소송도 염두하고 있는 상황에서, 구청이나 부산시에서 손 놓고 나몰라라 하는 것은 아니라고 봅니다. 법적인 소송이 진행될 경우 입주가 늦어지고, 그에 따른 이자가 추가로 발생하는 등 여러가지 문제들이 발생합니다.
법적인 문제가 없는게 맞는지 다시한번 확인 부탁드립니다.","1. 귀하께서 제출하신 민원에 대해 아래와 같이 알려드립니다.
2. 귀하의 민원내용은 양정자이더샵SK뷰아파트 세대창고와 관련된 사항으로 이해되며, 검토한 의견은 다음과 같습니다.
○ 세대창고의 유상 매각은 ？도시 및 주거환경정비법？ 상 별도 규정한 사항이 없어 강제할 수 없으나, 귀하의 민원사항을 조합에 전달하여 원만히 해결할 수 있도록 협조 요청하였음을 알려드립니다.
3. 답변 내용에 대한 추가 설명이 필요한 경우 부산진구 건축과 (☏051-605-4612)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝."
선암사 아래 수로 정비 요망,2024-06-20,답변완료,도시관리국 공원녹지과,"선암사 아래 다음 수로에 대하여 청소 및 정비하여 주시기 바랍니다.

1. 위치
가. 일주문 아래에서 뜨란채아파트로 내려오는 산책로 옆 수로와 하단부 숲속 집수정 앞
나. 일주문에서 백선숲길로 가는 산책로 50m지점의 수로 (1개월 전 옹벽 파손으로 정비한 수로)
2. 정비대상 : 수로 내의 토사, 잡목, 낙엽 청소 가 수로는 2곳, 나 수로는 4곳
3. 내용 : 나 수로 하단부 집수정 입구에는 토사가 너무 심하게 쌓여있어 거름 그물망이 거의 파손 직전임
4. 기타 : 장마철이 오기 전에 반드시 정비해야 될 곳으로 여겨짐.

※ 첨부파일 :
수로사진2.jpg
수로사진.jpg
수로사진3.jpg","1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 산림 내 배수로 정비에 관한 것으로 이해되며, 2024.6.26.(수) 정비완료 하였음을 알려드립니다.

3. 금회 정비한 배수로 중 당감뜨란채아파트 부지 내에 속한 구간은 아파트 관리사무소에서 주기적으로 정비될 수 있도록 해당사항을 전달할 예정입니다.

4. 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 우리구 공원녹지과 신종호 주무관(605-4541)에게 연락주시면 친절히 안내해 드리겠습니다. 감사합니다.


붙임 : 민원내용, 현장사진 각 1부. 끝."
서면지원더뷰아파트 인근 불법주차(시민공원로19번길 골목)및 보행로 확보 요청의 건,2024-06-20,답변완료,안전교통국 주차관리과,"수고 많으십니다.

서면 지원더뷰아파트 인근 골목길 (시민공원로 19번길) 불법주차로 인해 보행자들의 안전사고가 심히 우려됩니다.

심각한 불법 주차 및 최근 주변 공사장 자재들까지 도로 한켠에 버젓이 방치되면서 근처 어린이집 유아들의 등하원 및 인근 학원들을 오가는 초등학생들의 보행 안전이 크게 위협받고 있는 상황입니다.

주말에는 시민공원, 마트, 인근 결혼식장을 방문하는 사람들이 골목에 불법주차를 하고 복잡한 환경이 매주 반복됩니다.

따라서 골목길에 불법주차 단속 강화를 위한 불법주차 감시 카메라 설치를 요청드립니다.

또한, 골목길 보행로가 전혀 확보되지 않아 길을 지나다닐 때마다 차를 피해 몸을 숨켜야하는 상황입니다. 앞서 다른분께서 동일한 게시글을 올려주셨던데 보행로도 반드시 확보되어야 하는 상황입니다.

감사합니다.

※ 첨부파일 :
4.jpg
3.jpg
6.jpg","1. 귀하께서 요청하신 “CCTV 단속 카메라 설치”에 대하여 아래와 같이 답변 드립니다.
가. 먼저 불법주정차로 불편을 드려 죄송합니다. 불법주정차 단속 카메라의 경우 한정된 예산 등에 따라 주민이 요청하는 모든 지역에 설치하기 어려운 실정으로 “차량 교행이 어려운 주요간선도로”와 “초등학교 주출입구 주변의 어린이보호구역”부터 우선적으로 설치하고 있습니다.
나. “서면 지원더뷰파크 아파트 인근 골목길”의 경우 이면도로로 상기와 같은 우선설치 대상에 해당되지 않는 점 양해하여 주시기 바라며, 단속차량을 통한 집중 단속 및 계도를 진행하여 불법주정차 현상이 개선될 수 있도록 노력하겠습니다.
다. 불법주정차로 불편하실 경우, 평일(09:00~18:00)에는 주차관리과(☎605-4561~7), 평일 아침(07:00~09:00)과 저녁(18:00~22:00), 주말 및 공휴일(10:00~18:00)에는 구청 당직실(☎605-4222)로 신고하여 주시면, 조금 더 신속한 조치가 가능하오니 참고하여 주시기 바랍니다.
2. 답변내용에 대한 추가 설명이 필요할 경우, 부산진구 주차관리과(☎605-4566)로 연락주시기 바랍니다. 끝."
부암동 지원더뷰파크 옆 골목 인도 좀 만들어주세요.,2024-06-20,답변완료,도시관리국 건설과,"지원아파트 옆 골목에 양쪽으로 주차한 차들이 많습니다. 보행자들이 불법 주차 차들을 피해 차도로 걸어야하고 지나가는 차량이 있으면 주차된 차들 사이로 피하 걸어다닙니다. 보행자들 안전 때문에 보행로를 꼭 설치해 주셨으면 합니다. 길도 넓고 보행로 설치는 무리가 없어보입니다. 아이들 통학시에는 더욱 위험합니다. 주차된 차들 사이로 지나가는 차를 피했다가 그 차가 지나가고 아이가 차량들 사이로 나오다가 오토바이에 치일뻔 한 것을 목격했습니다. 어른들도 통행하기 위험한 길입니다. 보행로 좀 꼭 만들어주세요. 부탁드립니다.

※ 첨부파일 :
Screenshots_2024-06-20-14-23-08.png","우리 구 새올상담민원으로 접수된 민원사항에 대하여 아래와 같이 답변하고자 합니다.
1. 민원개요
가. 민원인: 김○○
나. 접수일: 2024. 6. 20.
다. 내 용: 부암동 80-56 일원(지원더뷰파크 옆 길) 보도블럭 설치 요청
2. 답변내용
가. 안녕하십니까? 귀하께서 신청하신 상담민원(접수번호: 202406201431237052)에 대한 검토결과를 다음과 같이 알려드립니다.
1) 귀하의 민원내용은 “부암동 80-56 일원 보도블럭 설치 요청”에 관한 것으로 판단됩니다.
2) 귀하께서 보도설치 요청하신 부암동 80-56 일원은 현재 도로 폭 B=8.0m이며, 「도로의 구조·시설 기준에 관한 규칙」에 따라 유효 폭 B=2m 이상의 보도(불가피할 경우 최소 폭 B=1.5m 이상) 설치 시 차량 교행 및 길어깨 폭이 확보되지 않아 현장 여건상 보도 설치는 어려운 점 양해바랍니다.
3) 불법 주·정차 단속에 대해서는 해당부서에 전달토록 하겠습니다.
나. 답변 내용에 대한 추가 설명이 필요한 경우 부산진구청 건설과(☎051-605-4695, 송연수)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙임 1. 새올상담민원 1부.
2. 위치도 및 현장사진 1부. 끝."
우수 덮개 보수의뢰,2024-06-19,답변완료,안전교통국 도로관리과,"수고하십니다. 집 옆 우수 덮개 파손으로 인한 소음 발생과 도로 파손 집 외벽에 작은 금들이 발생 하였고 몇번의 우수 덮개 및 도로 보수가 있었으나 한달도 못가 다시 소음 발생이 일어나고 조금씩 도로가 침식이 일어 나고 있습니다 우수 덮개의 면적을 줄이거나 덮개를 다시 설치 해주시길 부탁드림니다,","1. 안녕하십니까? 귀하께서 구청 홈페이지를 통해 신청하신 민원에 대한 검토 결과를
다음과 같이 알려드립니다.
2. 먼저 도로의 노면 상태로 인하여 생활의 불편을 야기한 상황에 대해 양해의 말씀을 드립니다.
3. 귀하의 민원 내용은 맨홀 뚜껑 정비 요청으로 이해되며 현장 확인 결과 해당 부분을
확인하였으며 정비 예정임음을 알려드립니다
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한
경우 부산진구 도로관리과 장지은주무관(☎051-605-4732)에게 연락하여 주시기 바랍니다.
감사합니다."
재선충 감염 소나무 제거,2024-06-19,답변완료,도시관리국 공원녹지과,"재선충 감염으로 고사된 소나무를 제거해 주세요

1. 위치 : 부암동 천안사 동편 숲속
천안사 법당 건물에서 동편 언덕 숲으로 20m
2. 고사목 수량 : 3그루 (현재 확인한 수량임)
3. 현 상태 : 누렇게 고사되어 재선충 감염의 모습을 보임
4. 기타 : 주변이 전부 소나무 숲이어서 감염 확산이 우려되니 빠른 제거가 필요함","새올전자민원창구 민원상담에 접수된 민원사항에 대하여 다음과 같이 답변하고자 합니다.

□ 민원내용
○ 백양산 부암동 천안사 근처 소나무 고사목 3본 정비요청

□ 답변내용
○ 안녕하십니까. 귀하께서 접수하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.
○ 귀하께서 정비요청하신 소나무 고사목 3본은 24.5.13.(월) 고사확인 후 재선충 감염여부 확인 결과 24.5.16.(목) 미감염목으로 판정되었으며
○ 해당 고사목은 소나무 방제시작 기간인 10.11.이후로 방제(제거) 예정임을 알려드립니다.
○ 기타 문의사항은 공원녹지과(☏605-4548)로 연락주시기 바랍니다. 고맙습니다.


붙임 2024년6월21일-a0-민원상담목록번호412267 1부. 끝."
초연근린공원에. 실내체육관 에어컨 개선필요,2024-06-19,답변완료,복지교육국 교육체육과,"초연근린. 공원 내 체육관. 에어컨 이. 전혀. 시원하지않습니다

개선필요합니다","1. 초연공원 체육관을 이용해 주셔서 감사드립니다.
2. 귀하께서 요청하신 민원(접수번호 : 202406191241476761)에 대해 아래와 같이 답변드립니다.

○ 초연공원 실내체육관 내에는 환기를 위한 급배기시설과 2대의 에어컨이 설치되어 있으나, 체육관내 냉방이 미비하여 이용에 불편들 드려 죄송합니다.
○ 향후 주민들이 쾌적하게 이용할 수 있도록 시설 점검 및 개선을 위해 더욱 노력하겠습니다.

3. 기타 문의사항이 있으시면 부산진구 교육체육과 이은주주무관(☎051-605-4092)로 문의주시면 성실히 답변해 드리겠습니다. 감사합니다. 끝."
소음 측정기 측정값 고정시켜 작업합니다.,2024-06-19,답변완료,문화경제국 환경위생과,"안녕하십니까.
양정포레힐즈 스위첸 입주민 입니다.
아파트 옆 신축현장에서 소음측정기를 설치하고 소음을 속이려고 고정값으로 설정되어 있습니다.
아울러 새벽시간에 작업차량 진입으로 밤 잠을 설치고 있습니다.
현장 확인후 빠른조치 부탁드립니다.

※ 첨부파일 :
새벽 작업차량1.mp4
소음측정기.jpg","1. 평소 환경보전을 위한 귀하의 관심과 노력에 감사드리며 공사로 인하여 불편을 겪으시는 주민께 위로의 말씀을 드립니다.
2. 귀하의 민원 내용은 양정1구역 주택재개발정비사업[시공사: 지에스건설]현장에서 발생하는 소음현황판으로 인한 불편에 관한 것으로 판단됩니다.
3. 현장 방문하여 현장관계자에게 민원사항 전달 및 소음현황판 점검 등을 통해 시설 정비토록 행정지도 하였음을 알려드립니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 부산진구 환경위생과 환경지도팀(☏051-605-4391)에게 연락해주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
