제목,작성일,답변상태,담당부서,민원내용,답변내용
아파트 외부 보도블럭 제초 작업 요청,2023-11-30,답변완료,교통환경국 늘푸른과,"안녕하세요 아파트 외부 보도블럭 쪽 제초 작업이 되지 않아 구청에 제초 작업 요청드립니다

해당 구역은 구청의 땅이라서 요청드립니다

장소는 마티안 아파트 1층 정문 에서 센텀 현대 아파트 쪽 가는길에 있는 풀입니다

감사합니다

※ 첨부파일 :
KakaoTalk_20231130_130654753.jpg","1. 안녕하십니까? 귀하께서 접수하신 민원(접수번호-314310)에 대한 검토결과를 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 센텀마티안아파트 일원의 보도 제초 요청으로 이해됩니다.
3. 해당현장 확인 후 작업 완료(2023.12.06.)하였음을 알려드립니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가설명이 필요하신 경우 해운대구청 늘푸른과(749-4531)로 연락주시면 친절히 안내해드리도록 하겠습니다. 감사합니다.


붙임 2023년12월7일-a0-민원상담목록번호314310. 끝."
동원 비스타 오션 헤리티지 생활형 숙박시설 36층 신축 공사로 인한 숙박업 건물의,2023-11-30,답변완료,도시안전국 건축과,"동일고충민원
동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202206301428320998 선행민원상세조회","1. 평소 구정 발전에 도움을 주신데 대하여 감사드립니다.
2. 안녕하십니까? 귀하께서 우리 구 새올전자민원창구를 통해 신청하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.
3. 귀하의 민원내용은 우리 구 중동 1382-1번지 건축공사로 인하여 소유 중인 건축물 외부 균열, 누수 등의 민원사항으로 이해되며, 귀하의 민원사항에 대한 검토의견은 다음과 같습니다.
가. 귀하께서 소유·관리 중인 중동 1393-78번지 상 건축물의 안전을 확인하기 위해 공사관계자 측에 계측보고서 요청 후 확인한 결과(지중경사계, 건물경사계, 균열측정계), 안전범위 내로 확인되었습니다.
나. 이와 관련하여, 외벽 균열, 누수 및 영업피해 보상 등에 대해서는 공사관계자 및 민원인 상호 해결해야 될 사항이나, 귀하의 불편사항을 공사관계자 측에 전달하여 조속히 해결될 수 있도록 지도하였음을 알려드리니 참고하시기 바랍니다.
4. 추가 설명이 필요한 경우 건축과 이관웅 주무관(☎051-749-4594)에게 문의하시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
--------------------------------------------------------------------
[협조부서] : 교통환경국 환경위생과 [답변일자] : 2023-12-05 17:21:32
[작성자] : 윤준호 [전화번호] : 051-749-4398 [이메일] : yjh2207@korea.kr
[답변내용] :
1. 안녕하십니까? 귀하께서 신청하신 민원(202311301405502877)에 대한 조치사항을 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 중동 1382-1 외 5필지 생활형숙박시설 신축공사장 소음？진동, 분진으로 인한 생활불편 피해에 관한 것으로 판단되며, 현장 확인 등 조치사항은 다음과 같습니다.
가. 현장 확인 시 지하5층 굴착 및 콘크리트 타설 작업 진행 중 임을 확인하였으며,
나. 현장 관계자에게 민원내용을 전달하고 향후 공사장비에 대한 소음및진동 저감 조치(저소음및진동 굴착장비 교체, 에어매트 추가 설치 등)를 강화하여 소음및진동 발생을 최소화 함은 물론 공사장 주변 청소, 살수 및 세륜 철저토록 강력히 행정지도 하였습니다.
다. 공사로 인한 환경 피해와 관련하여 환경분쟁조정제도(부산광역시 환경분쟁조정위원회 051-888-3651)를 안내해 드리니 참고하시기 바랍니다.
3. 향후에도 지속적인 환경순찰 등을 통해 주민 불편사항이 최소화 되도록 노력하겠으며, 답변 내용에 대한 추가 설명이 필요한 경우에는 환경위생과(051-749-4398)로 문의하여 주시면 성실히 답변 드리겠습니다. 감사합니다."
해운대 해수욕장 근처 하수구 냄새,2023-11-29,답변완료,도시안전국 건설과,"해운대 산지 10년이 넘었습니다. 집은 좌동 사무실은 우동입니다.

10수년동안 좌동에서 우둥 출퇴근시 나는 악취에 차 창문도 열지 못합니다.

특히 타지역 손님들 오시면 부끄러워서 더욱더 돌아가든 피해 다닙니다.

부끄럽습니다. 해운대 주민으로써 조취하십시요. 부탁합니다.","1. 평소 구정 발전에 많은 관심을 가져주셔서 감사합니다.
2. 귀하의 민원은 “해운대 해수욕장 근처 하수구 냄새”와 관련된 사항으로 다음과 같이 답변드립니다.
가. 우리 구 해운대 해수욕장 및 우동 일원에는 지방하천인 춘천의 하류부가 위치하고 있으며, 춘천 하류 일대의 악취해소를 위하여 2019년 춘천 유입구역 분류식 사업, 2020년 춘천 복개박스 준설공사, 2022년 춘천 하류 준설 및 유입지류 하수박스 준설 등을 추진하였습니다.
나. 또한 현재 춘천 복개 BOX 악취개선 공사 등을 추가 시행 중으로 악취가 개선될 수 있도록 지속적으로 노력하고 있음을 양지하여 주시기 바랍니다.
3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 위 내용에 대한 추가 설명이 필요한 경우 해운대구 건설과 이세훈 주무관(☏749-6035)에게 연락주시면 친절히 안내드리겠습니다.


붙임 : 2023년12월5일-a0-민원상담목록번호314168 1부. 끝."
해운대블루라인파크 사고위험,2023-11-28,답변완료,문화관광경제국 문화관광과,"해운대블루라인파크의 열차가 역에 진입시 승강장의 안전펜스가 없어 실족하거나 어린이가 뛰어들면 바로 대형 사고가 나겠다는 생각이 듭니다.
스크린도어까지는 아니지만 최소한 안전 펜스가 있고 정차 완료시 안전요원이 펜스를 열어주는 시스템으로 바꿔야 될듯합니다.
소잃고 외양간 고치지말고 행정도치를 통해 빠른 개선 기대합니다.","1. 구정에 보내주신 관심에 감사드립니다.
귀하께서 [새올 상담민원]으로 문의하신 사항에 대하여 아래와 같이 답변드립니다.

2. 우선 귀하께서 제기하신‘열차의 역 진입시 안전문제’관련 민원은 주사업체인
해운대블루라인(주)측으로 전달하였습니다.

3. 해운대블루라인(주)측에서는 역마다 모두 안전 펜스가 설치되어 있으며, 주요 역인 미포, 청사포, 송정역에서는 안전을 위해 안전요원이 펜스를 열어주는 시스템이 이미 진행 중임을 알려왔으며, 정차 시 어린이 관련 안전 문제가 발생하지 않도록 직원 교육 및 주의를 기울이겠다는 답변을 받았습니다.

4. 추가로 궁금한 사항이 있으시면 해운대블루라인파크(☎051-701-5548) 또는 문화관광과 (☎051-749-4087)로 연락주시면 성실히 답변드리겠습니다. 감사합니다. 끝."
불법적인 부설주차장 폐쇄에 대하여 조속히 행정처분을 하여 주십시요,2023-11-28,답변완료,교통환경국 주차행정과,"우신골든스위트 운영위원회에서 불법적으로 주차장을 폐쇄하고 있어 여러차례 민원을 하였지만 여전히 행정처분이 이루어 지지 않고 있습니다.
붙임 내용증명과 같이 현재 주차장을 폐쇄하고 있는 주체는 우신골든스위트 운영위원회임이 확실하므로 조속히 행정처분을 해야 할것입니다.
주차장 관리책임자를 파악하기 불가능하면 건물소유자에게 행정조치 하십시요.
현재 주차장 이용자가 주차를 못하여 불법주차를 할 수 밖에 없습니다. 해운대구청에서는 이를 방임하고 있습니다.
현재 형사고소가 되어 있으므로 검찰청에서 행정조치 사항에 대하여도 파악을 할 것입니다.
조속히 행정조치를 이루어지지 않으면 감사원 등에도 행정조치 미이행에 대하여 민원을 제기할 것입니다.

※ 첨부파일 :
내용증명2.pdf
내용증명1.pdf","1. 부설주차장 폐쇄로 인해 계속 불편을 겪고 계신 점에 대해서는 대단히 죄송합니다.

2. 우리 구에서는 민원사항에 대해 우신골든스위트 오피스텔 관리사무소를 방문하여 부설주차장 폐쇄문제가 조속히 해결될 수 있도록 적극적으로 행정지도 하였음을 알려드립니다.

3. 현재 부설주차장 문제를 원만히 해결하기 위해 우신종합건설과 오피스텔 운영위원회간 회의개최 등 자체적인 대책을 강구중에 있음을 확인하였는 바, 회의결과에 따라 주차장법 위반사항에 대해 행정처분할 예정이오니 많이 양해하여 주시기 바랍니다.

4. 앞으로도 우리 구에서는 빠른 시일내로 해당 주차장이 정상화될 수 있도록 행정지도할 예정임을 알려드리며, 추가로 궁금하신 사항이 있으시면 주차행정과(☎749-4884)로 연락주시면 성심껏 답변 드리겠습니다. 감사합니다.

붙임 1. 상담내용 1부.
2. 내용증명(1) 1부.
3. 내용증명(2) 1부. 끝."
장기방치차량 처리 요청,2023-11-27,답변완료,교통환경국 교통행정과,"장기방치된 차량이 있어 신고하오니 절차에 따라 처리 바랍니다.

#위치: 중동 767번길 르노서비스앞 수퍼바이크점옆(사진참고)
#차종: 검정 산타페 58러 4295

※ 첨부파일 :
1701038797854-1.jpg
1701044954560.jpg
1701038797854-0.jpg","1. 귀하의 무궁한 발전을 기원합니다.

2. 귀하께서 제기한 민원과 관련하여 아래와 같이 답변드립니다.

○ 해당 차량은 현장 확인 결과 11.29.일자 계고장을 붙였으나, 그 이후 소유자 확인 후 제거한것으로 확인되어 무단방치라고 판단하기 어려운 상황입니다.

○ 다만, 민원사항을 고려해 소유자에게 다른 곳으로 이동하라고 안내 하였으나, 견인은 불가한 점 양해바랍니다.

3. 기타 궁금한 사항이 있으면 교통행정과 자동차관리팀 최호성(☎749-4652)으로 문의하여 주시기 바랍니다. 감사합니다.

붙임 1. 2023년11월30일-a0-민원상담목록번호313664.
2. 현장사진. 끝."
아파트 단지내 과속 차량 신고,2023-11-27,답변완료,도시안전국 공동주택관리과,"해운대구 좌동 두산아파트 단지내에서 과속하여 사람 칠 뻔한 차량번호 6453 에쿠스 신고합니다.
아파트 단지내에서 과속하는 차량이 너무 많던데 단속 좀 하세요...","1. 평소 우리 구 발전에 협조하여 주셔서 감사합니다.
2. 귀하께서 제출하신 민원의 내용은 “두산1차아파트 단지 내 과속차량에 대한 안전관리를 요청”하는 민원으로 이해됩니다.
3. 귀하의 민원사항에 대해 검토한 의견은 다음과 같습니다.
가. 「공동주택관리법」제63조에 따라 공동주택 공용부분의 유지·보수 및 안전관리는 관리주체의 업무로 규정하고 있으므로,
나. 귀하께서 제기하신 민원사항을 관리주체에게 전달하고, 해당 단지 내 통행차량의 과속현황을 확인 후 민원해소를 위하여 적절한 조치를 취할 것을 협조요청 하였음을 알려드립니다.
4. 기타 공동주택 관리와 관련한 문의사항은 우리 구(공동주택관리과 ☎051-749-4624)로 연락주시면 상세히 안내하여 드리겠습니다. 끝."
사업장 앞 큰 나무들로 매장이 보이질않습니다.,2023-11-26,답변완료,교통환경국 늘푸른과,"개업한지 3년이 다 되어가는 미용실 입니다.
짧은 기간은 아니라는것 딱 봐도 아시겠죠. 그런데 가게앞의 나무때문에 노출이 하나도 안되서 장사가 너무 안됩니다.
처음에는 그래, 코로나니까 조금만 버텨보자 했습니다. 그런데 아직까지, 지금까지도 똑같습니다. 아니요 더 안좋아졌습니다.
검색을 하거나 찾아서와주시는 고객님들도 여기에 미용실이 있는것을 전혀 몰랐다고 합니다.
이정도면 진짜 문제가 있는것 아닙니까? 저번에도 민원 넣었더니 어쩔수없다. 손 쓸 도리가 없다 이렇게 말씀하시고
정말 무책임하시네요. 매달 적자로 대출까지 받아가며 겨우겨우 유지중입니다.
이젠 직원들 조차도 생계가 힘들어지기 시작했습니다. 월급날만 다가오면 직원들 눈치보고 골머리싸매며 정말 죽고싶습니다.
가지치기라도 해주던가 조치를 취해주셔야지 손 쓸 도리가 없다고 띡 통보만하시면 다인줄 아십니까?
적어도 다른 대책방안이라도 내주셔야하는거 아닙니까
그리고 바로 건너편 도로 보니까 앞에 나무들 가지 다 잘라놧던데 왜 우리 가게 앞에만 안된다고 하시는 거죠?? 다른데 어디 잘라놨냐고 물어보신다면 맞은편 대형카페 앞에 가보십시오. 다 잘려있었습니다........
이렇게 대놓고 대기업, 소상공인 차별하시나요?
거기는 뭐 세계적인 대기업이라서 예예 하고 자르고 우리는 개인 가게라서 무시하시는겁니까?
진짜 다 그만두고싶네요.. 정말 지칩니다. 그렇다고 직원들도 있는데 나몰라라 가게를 접을 수도 없고,..
요새는 정말 안좋은 생각이 드네요.
제발 읽고 신중하게 한번 검토 해 주세요. 물론 대충 읽지도 않고 넘길거라고 생각 하진않습니다.
막연하게 안된다 던지는 한마디에 저같은 소상공인은 죽어나갑니다.
그래도 다시 한번 더 생각 해주시고, 방안 좀 마련해 주십시오.
정말 너무 힘듭니다 ,,,

첨부한 사진은 겨울철이 되서야 낙엽잎이 다 떨어지고나서의 모습입니다.
겨울에도 이정도인데 봄,여름,가을엔 어떨지 감안하여 봐주십시오

※ 첨부파일 :
IMG_4754.jpeg","1. 안녕하십니까? 구청 행정에 대해 관심을 가져주신 점 감사드리며, 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 수목으로 간판가림으로 이해됩니다.
3. 사업장 앞 큰 나무는 상가 부지 내 수목으로, 상가 부지 내 수목은 상가 소유주에게 책임이 있음을 알려드립니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 늘푸른과 성수진 주무관(☏749-4494)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.


붙임 1. 민원내용 1부.
2. 현장사진 1부. 끝."
지긋지긋한 관광지 장사치(외국인 등처먹기),2023-11-26,답변완료,교통환경국 환경위생과,"외국인 남자 (178cm60후반kg) 혼자 부산 여행 중 송정 해수욕장 대구탕집에서 점심값으로 5만8천원을 냈습니다.

외국인 친구가 해물탕을 보고 대구탕 그릇에 먹을 수 있냐고 물어봤더니
Okok. 하길래 기다렸답니다. 근데 냅다 둘다 찍어 팔아요?

남자 혼자인거 뻔히 알면서
대구탕13,000원 해물탕 소 45,000원을?

이게 상식적인가요?
왜요 외국인은 한국말을 모르니까?
한번 욕먹고 말면 되니까?
어차피 즈그나라 가면 끝이니까?

메뉴판에서 2개 가르켜 물어봤다고 둘다 파시냐고요.
하다 못해 하나씩 주문이 맞냐거나 이러면 많다거나 아님 먹고 또 시키라거나
뭐 정보를 주던가 걍 본인이 영어못하면 끝인가요?
영어는 못하면서 okok 뭔 배짱으로 okok하시고 2개파세요
이건 강매잖아요?

좌우지간 한국말도 못하는 애가 와서
저렇게 시킨게 잘못인가요?
그래서 사람들은 다 유럽 각국 언어 할줄 알아서
유럽여행가고 동남아언어 다 할줄 알아서
동남아 여행가요?

너무 어이없어 전화로 물었더니
1. 즈그 가게에 외국인 손님 많이오는데
외국인들은 원래 많이 먹는다 (기가 참)
2. 좌우지간 외국인이 2개 골랐다.(물어보느라 2개 짚긴함)

아니 그래서 많다거나 먹어보고 시키라거나
둘중 하나만 주문 넣는다거나 할 수 있지않냐니까

3. 다 설명했다 생대구는 2만원인데 (그와중에ㅋㅋ으휴) 그건 안먹는다더라
4. 금액도 다 써있는데 뭐가 문제냐

라며 박박얘기하시길래 친구한테 물어봤더니
어떠한 말도 없었다던데요.
소통의 부재가 아니라 소통의 시도조차
안해놓고 뭐하자는건지?

다시 전화하니까 소통이 안되는데 어쩌란식,
이럴거면 친구한테 전화해서 물어보면 되지않았냐,
말바꾸시더라고요? 장난하시나?

본인도 찔려서 거짓말을 한건지
오히려 바가지 씌웠단 식으로 말하면 안된다며
그러시던데 저는 바가지라고 한적없는데
도둑이 제 발 저린거 아니시고요?
바가지 아니죠 금액 그대로 팔아드셨으니까요.
근데 등처먹은건 맞잖아요^^

아직도 해운대구에 이런가게 있는거 보고 기함했네요.
덕분에 식당 갔던 외국인 친구 포함 다른 애들도
다신 부산 안온대요ㅎ
뭐 본인일 아니니 알빠들 아니시겠죠
해운대구 상권 왜 기우는거 같으세요?
왜 다들 이제 광안리 간다어쩐다 하는거 같으세요?
이런거 지겨워서예요.

사투리 안쓰면 불친절하고, 국적안가리고
등처먹으려고하고 관광지라 한번 팔아먹음
끝이라고 생각하는 그 치졸한 마인드들 때문에라니까요.

글로벌 어쩌고허면서 뭘 유치하니마니 난리속에
이런식으로 타국인 대하는데 뭐가 글로벌인데요?
외국인들이 뭘 믿고오나요 ? 뭐 좋다고오겠어요.

얼마전에 광장시장 전 15,000원 때문에 뒤집어졌는데
아주 작은 데이터 같아도 누적되면 이미지가 되고
그 이미지가 쌓이면 편견이 됩니다.
편견은 생기면 무슨 짓을 해도 깨트리기 어렵고요^^
저까지 덩달아 해운대구고 송정이고 얼씬도 안하고 싶어졌네요.
덕분에 부산 꼭 가보라고했던 저만 우습게됐어요.
반드시 관리감독해서 경고주거나 영업일 정지해도 모자라네요.

※ 첨부파일 :
IMG_0349.jpeg","1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 「월깍두기 강매 단속 요청」에 관한 것으로 이해됩니다.
3. 귀하의 민원사항에 대해 검토한 결과는 다음과 같습니다.
- 현장점검 결과, 해당 업소는 무신고 일반음식점 영업이 확인되어 사법기관에 고발 조치 예정이며, 제기하신 민원 사항은 동일 건 발생치 않도록 행정지도 하였음을 알려드립니다.
4. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 추가 설명이 필요한 경우 해운대구청 환경위생과 식품지도팀(051-749-4415)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
해운대빛축제 준비에 대한 질문,2023-11-25,답변완료,문화관광경제국 문화관광과,"수고많으십니다

매년 연말이연 해운대 빛축제를 행복한 마음으로 기대하는 해운대구민 입니다
백사장에 펼쳐지는 환상적이고 아름다운 빛의 향연을 보는 기쁨,
관광객들의 감탄을 들으면서
해운대 부심도 더욱 커졌습니다

그런데 저의 기우인지~
지금 백사장에 준비상태를 보니 ~규모나 설치물 상태가 너무나 빈약하고 실망스럽습니다
지인들도 설마 설마 하더라구요

다른준비가 있는지 ?연유를 알고싶습니다","1. 먼저 구정 발전을 위해 관심을 가져주신 점에 대해 감사드립니다.
2. 제10회 해운대 빛축제는 희망, 빛으로 다시 한 번이라는 주제로 오는 12월 2일부터 2024년 1월 31일까지 61일간 개최됩니다.
3. 올 해 해운대빛축제의 관람 포인트는 해운대해수욕장 이벤트 광장 앞 40m에 달하는 미디어프로젝트존으로, 국내 유명 미디어아트 작가들과 협업하여 수준 높은 영상작품을 환상적인 미디어아트쇼로 만나볼 수 있습니다.
4. 또한 해운대의 사계절을 표현한 은하수 정원과 카멜레온처럼 색이 변하는 다이크로익 빛 조형물 포토존을 조성하는 등 매년 발전되고 새로운 모습으로 빛축제를 개최하고자 노력하고 있습니다.
5. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 위 내용에 대한 추가 문의가 필요하신 경우 해운대구 문화관광과 마선경 주무관(☎749-4062)에게 연락주시면 성심껏 안내해 드리겠습니다. 감사합니다."
