고유 식별자,조례명,관할 지자체명,조문 계층 경로,동일 조문 계층 경로 내 청크 순서,실제 본문 내용 (조문 텍스트),조문 제목 (있을 경우),상위 조문번호,근거법령명,제·개정·시행일자,조례 분야,원문 페이지 URL,비고
SAHA-TRAFFIC-877-99,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,부칙,1,"부     칙
①(시행일) 이 규칙은 공포한 날부터 시행한다.
②(경과조치) 이 규칙 시행당시 종전의 규정에 의한 견인구역은 구청장의 별도 구역고시가 있을 때
까지 적용하며, 기존 대행업체는 이 규칙에 의거 지정된 것으로 본다.",부칙,,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=005&menuNm=main,부칙
SAHA-TRAFFIC-877-99,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,부칙,2,"부     칙 <2005.6.22 규칙 제573호>
이 규칙은 공포한 날부터 시행한다.",부칙,,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=004&menuNm=main,부칙
SAHA-TRAFFIC-877-99,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,부칙,3,"부     칙 <2009.6.10 규칙 제643호>
이 규칙은 공포한 날부터 시행한다.",부칙,,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=003&menuNm=main,부칙
SAHA-TRAFFIC-877-99,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,부칙,4,"부칙 <2013.4.15 규칙 제703호>
이 규칙은 공포한 날부터 시행한다.",부칙,,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=002&menuNm=main,부칙
SAHA-TRAFFIC-877-99,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,부칙,5,"부칙<2020.04.10, 규칙 제877호>(부산광역시 사하구 행정기구 개편사항 반영 등 규칙 정비를 위한 일괄개정규칙)
제1조(시행일) 이 규칙은 공포한 날부터 시행한다.
제2조(유효기간) (생략)",부칙,,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=001&menuNm=main,부칙
SAHA-TRAFFIC-877-10-01,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제10조-1항,1,대행업체는 규칙 제23조제3항에 따라 보험에 가입하여야 한다.<개정 2020.4.10.>,대행업체의 손해배상책임,제10조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=000&menuNm=main,
SAHA-TRAFFIC-877-10-02,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제10조-2항,1,차의 견인·보관중에 발생한 손해배상 등의 일체의 책임은 대행업체가 진다.,대행업체의 손해배상책임,제10조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=001&menuNm=main,
SAHA-TRAFFIC-877-11,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제11조,1,"주차위반차량의 이동 보관.공고 등에 소요된 비용은 「부산광역시 주차위반 자동차 견인소요비용 산정기준에 관한 조례」에 정한 금액으로 하며, 대행업체의 수입으로 한다. <개정 2005.6.22>",소요비용의 징수 및 귀속,제11조,부산광역시 주차위반 자동차 견인소요비용 산정기준에 관한 조례,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=002&menuNm=main,행정·시설 기준
SAHA-TRAFFIC-877-12-01,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제12조-1항,1,구청장은 대행업체에 대하여 사업개선명령이 필요하다고 인정되는 사항에 대하여는 사업개선명령을 할 수 있다.,사업개선명령,제12조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=003&menuNm=main,
SAHA-TRAFFIC-877-12-02,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제12조-2항,1,"제1항의 규정에 의한 사업개선명령에 해당되는 사항은 다음 각 호와 같다.
  1. 견인보관소의 위치 및 시설규모가 부적합하다고 판단되는 사항
  2. 견인대행과 관련하여 인력,장비 등 시설 등의 개선명령이 필요한 사항
  3. 관계 법령이 개정되어 개선이 필요한 사항
  4. 기타 원할한 견인대행업무수행을 위하여 필요한 사항",사업개선명령,제12조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=004&menuNm=main,
SAHA-TRAFFIC-877-13-01,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제13조-1항,1,구청장은 제12조제2항 각 호의 명령을 대행업체가 위반한 때에는 그 지정을 취소하거나 6월의 범위내에서 대행업무의 정지를 명할 수 있다.,대행업체의 지정취소,제13조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=005&menuNm=main,행정·시설 기준
